Reference, Value, Footprint, Datasheet
U1,Pro Micro,Module:Arduino_ProMicro,https://www.arduino.cc/en/uploads/Main/ArduinoNanoManual23.pdf
SW1,ESC,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW2,F1,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW3,F2,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW4,F3,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW5,F4,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW6,F5,Button_Switch_THT:SW_PUSH_6mm_8mm,~
D2,D,Diode_SMD:D_0805_2012Metric,~
D3,D,Diode_SMD:D_0805_2012Metric,~
D4,D,Diode_SMD:D_0805_2012Metric,~
D5,D,Diode_SMD:D_0805_2012Metric,~
D6,D,Diode_SMD:D_0805_2012Metric,~
D1,D,Diode_SMD:D_0805_2012Metric,~
SW8,¸¨,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW9,1!,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW10,"2"",""Button_Switch_THT:SW_PUSH_6mm_8mm",~,
SW11,3#,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW12,4$,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW13,5%,Button_Switch_THT:SW_PUSH_6mm_8mm,~
D9,D,Diode_SMD:D_0805_2012Metric,~
D10,D,Diode_SMD:D_0805_2012Metric,~
D11,D,Diode_SMD:D_0805_2012Metric,~
D12,D,Diode_SMD:D_0805_2012Metric,~
D13,D,Diode_SMD:D_0805_2012Metric,~
D8,D,Diode_SMD:D_0805_2012Metric,~
SW15,TAB,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW16,Q,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW17,W,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW18,E,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW19,R,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW20,T,Button_Switch_THT:SW_PUSH_6mm_8mm,~
D16,D,Diode_SMD:D_0805_2012Metric,~
D17,D,Diode_SMD:D_0805_2012Metric,~
D18,D,Diode_SMD:D_0805_2012Metric,~
D19,D,Diode_SMD:D_0805_2012Metric,~
D20,D,Diode_SMD:D_0805_2012Metric,~
D15,D,Diode_SMD:D_0805_2012Metric,~
SW22,CAPS,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW23,A,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW24,S,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW25,D,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW26,F,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW27,G,Button_Switch_THT:SW_PUSH_6mm_8mm,~
D23,D,Diode_SMD:D_0805_2012Metric,~
D24,D,Diode_SMD:D_0805_2012Metric,~
D25,D,Diode_SMD:D_0805_2012Metric,~
D26,D,Diode_SMD:D_0805_2012Metric,~
D27,D,Diode_SMD:D_0805_2012Metric,~
D22,D,Diode_SMD:D_0805_2012Metric,~
SW29,SHIFT,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW30,<>,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW31,Y/Z,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW32,X,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW33,C,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW34,V,Button_Switch_THT:SW_PUSH_6mm_8mm,~
D30,D,Diode_SMD:D_0805_2012Metric,~
D31,D,Diode_SMD:D_0805_2012Metric,~
D32,D,Diode_SMD:D_0805_2012Metric,~
D33,D,Diode_SMD:D_0805_2012Metric,~
D34,D,Diode_SMD:D_0805_2012Metric,~
D29,D,Diode_SMD:D_0805_2012Metric,~
SW36,CTRL,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW37,ALT,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW38,Win/Apple,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW39,SPACE,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW40,LEFT,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW41,DOWN,Button_Switch_THT:SW_PUSH_6mm_8mm,~
D37,D,Diode_SMD:D_0805_2012Metric,~
D38,D,Diode_SMD:D_0805_2012Metric,~
D39,D,Diode_SMD:D_0805_2012Metric,~
D40,D,Diode_SMD:D_0805_2012Metric,~
D41,D,Diode_SMD:D_0805_2012Metric,~
D36,D,Diode_SMD:D_0805_2012Metric,~
SW43,F7,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW44,F8,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW45,F9,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW46,F10,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW47,F11,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW48,F12,Button_Switch_THT:SW_PUSH_6mm_8mm,~
D44,D,Diode_SMD:D_0805_2012Metric,~
D45,D,Diode_SMD:D_0805_2012Metric,~
D46,D,Diode_SMD:D_0805_2012Metric,~
D47,D,Diode_SMD:D_0805_2012Metric,~
D48,D,Diode_SMD:D_0805_2012Metric,~
D43,D,Diode_SMD:D_0805_2012Metric,~
SW50,7/,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW51,8(,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW52,9),Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW53,0=,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW54,/?,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW55,+*,Button_Switch_THT:SW_PUSH_6mm_8mm,~
D51,D,Diode_SMD:D_0805_2012Metric,~
D52,D,Diode_SMD:D_0805_2012Metric,~
D53,D,Diode_SMD:D_0805_2012Metric,~
D54,D,Diode_SMD:D_0805_2012Metric,~
D55,D,Diode_SMD:D_0805_2012Metric,~
D50,D,Diode_SMD:D_0805_2012Metric,~
SW57,U,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW58,I,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW59,O,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW60,P,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW61,Š,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW62,Đ,Button_Switch_THT:SW_PUSH_6mm_8mm,~
D58,D,Diode_SMD:D_0805_2012Metric,~
D59,D,Diode_SMD:D_0805_2012Metric,~
D60,D,Diode_SMD:D_0805_2012Metric,~
D61,D,Diode_SMD:D_0805_2012Metric,~
D62,D,Diode_SMD:D_0805_2012Metric,~
D57,D,Diode_SMD:D_0805_2012Metric,~
SW64,J,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW65,K,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW66,L,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW67,Č,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW68,Ć,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW69,Ž,Button_Switch_THT:SW_PUSH_6mm_8mm,~
D65,D,Diode_SMD:D_0805_2012Metric,~
D66,D,Diode_SMD:D_0805_2012Metric,~
D67,D,Diode_SMD:D_0805_2012Metric,~
D68,D,Diode_SMD:D_0805_2012Metric,~
D69,D,Diode_SMD:D_0805_2012Metric,~
D64,D,Diode_SMD:D_0805_2012Metric,~
SW71,N,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW72,M,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW73,",;",Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW74,.:,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW75,-_,Button_Switch_THT:SW_PUSH_6mm_8mm,~
SW76,UP,Button_Switch_THT:SW_PUSH_6mm_8mm,~
D72,D,Diode_SMD:D_0805_2012Metric,~
D73,D,Diode_SMD:D_0805_2012Metric,~
D74,D,Diode_SMD:D_0805_2012Metric,~
D75,D,Diode_SMD:D_0805_2012Metric,~
D76,D,Diode_SMD:D_0805_2012Metric,~
D71,D,Diode_SMD:D_0805_2012Metric,~
SW7,F6,Button_Switch_THT:SW_PUSH_6mm_8mm,~
D7,D,Diode_SMD:D_0805_2012Metric,~
SW14,6&,Button_Switch_THT:SW_PUSH_6mm_8mm,~
D14,D,Diode_SMD:D_0805_2012Metric,~
SW21,Y/Z,Button_Switch_THT:SW_PUSH_6mm_8mm,~
D21,D,Diode_SMD:D_0805_2012Metric,~
SW28,H,Button_Switch_THT:SW_PUSH_6mm_8mm,~
D28,D,Diode_SMD:D_0805_2012Metric,~
SW35,B,Button_Switch_THT:SW_PUSH_6mm_8mm,~
D35,D,Diode_SMD:D_0805_2012Metric,~
SW42,RIGHT,Button_Switch_THT:SW_PUSH_6mm_8mm,~
D42,D,Diode_SMD:D_0805_2012Metric,~
SW49,F13 PRTSCR,Button_Switch_THT:SW_PUSH_6mm_8mm,~
D49,D,Diode_SMD:D_0805_2012Metric,~
SW56,DELETE,Button_Switch_THT:SW_PUSH_6mm_8mm,~
D56,D,Diode_SMD:D_0805_2012Metric,~
SW63,BACKSPACE,Button_Switch_THT:SW_PUSH_6mm_8mm,~
D63,D,Diode_SMD:D_0805_2012Metric,~
SW70,ENTER,Button_Switch_THT:SW_PUSH_6mm_8mm,~
D70,D,Diode_SMD:D_0805_2012Metric,~
SW77,SHIFT,Button_Switch_THT:SW_PUSH_6mm_8mm,~
D77,D,Diode_SMD:D_0805_2012Metric,~
R8,200,Resistor_SMD:R_1206_3216Metric,~
R9,200,Resistor_SMD:R_1206_3216Metric,~
J1,PSU I2C bus,Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Horizontal,~
R1,1M,Resistor_SMD:R_1206_3216Metric,~
R2,1M,Resistor_SMD:R_1206_3216Metric,~
R3,1M,Resistor_SMD:R_1206_3216Metric,~
R4,1M,Resistor_SMD:R_1206_3216Metric,~
R5,1M,Resistor_SMD:R_1206_3216Metric,~
R6,1M,Resistor_SMD:R_1206_3216Metric,~
R7,1M,Resistor_SMD:R_1206_3216Metric,~
R10,1M,Resistor_SMD:R_1206_3216Metric,~
R11,1M,Resistor_SMD:R_1206_3216Metric,~
R12,1M,Resistor_SMD:R_1206_3216Metric,~
R13,1M,Resistor_SMD:R_1206_3216Metric,~
R14,200,Resistor_SMD:R_1206_3216Metric,~
R15,200,Resistor_SMD:R_1206_3216Metric,~
SW78,ESC,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW79,F1,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW80,F2,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW81,F3,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW82,F4,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW83,F5,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW84,F6,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW85,¸¨,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW86,1!,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW87,"2"",""Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB",~,
SW88,3#,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW89,5%,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW90,6&,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW91,TAB,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW92,Q,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW93,W,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW94,E,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW95,R,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW96,T,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW97,Y/Z,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW98,CAPS,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW99,A,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW100,S,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW101,D,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW102,F,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW103,G,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW104,H,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW106,<>,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW105,SHIFT,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW107,Y/Z,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW108,X,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW109,C,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW110,V,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW111,B,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW112,CTRL,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW113,ALT,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW114,Win/Apple,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW115,SPACE,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW116,LEFT,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW117,DOWN,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW118,RIGHT,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW119,F7,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW120,F8,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW121,F9,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW122,F10,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW123,F11,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW124,F12,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW125,F13 PRTSCR,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW126,7/,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW127,8(,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW128,9),Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW129,0=,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW130,/?,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW131,+*,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW132,DELETE,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW133,U,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW134,I,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW135,O,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW136,P,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW137,Š,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW138,Đ,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW139,BACKSPACE,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW140,J,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW141,K,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW142,L,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW143,Č,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW144,Ć,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW145,Ž,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW146,ENTER,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW147,N,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW148,M,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW149,",;",Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW150,.:,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW151,-_,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW152,UP,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW153,SHIFT,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
SW154,4$,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
J2,PS2 touchpad,Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Horizontal,~
R16,200,Resistor_SMD:R_1206_3216Metric,~
R17,200,Resistor_SMD:R_1206_3216Metric,~
